0,1,2,3,4,5,6,7
,Number,,,,,,
,,(calendar,(thousands),,(thousands),,
,,,,employed,,time of all,involved
,,day s)3,,,,,
,,,,,,workers,
1927,707,26.5,330,1.4,"26,200",0.37,79.5
1928,604,27.6,314,1.3,"12,600",.17,40.2
1929 _____-_-__________________________,921,22.6,289,1.2,"5,350",.07,18.5
1930 _____ ________ __-_----------,637,22.3,183,.8,"3,320",.05,18.1
,810,18.8,342,1.4,"6,890",.11,20.2
,841,19.6,324,1.8,"10,500",.23,32.4
1932,,,,,,,
1933 _______-_------------,"1,695",16.9,"1,170",6.3,"16,900",.36,14.4
,,19.5,"1,470",7.2,"19,600",.38,13.4
1935 ________ _____ _____________,"2,014",23.8,"1,120",5.2,"15,500",.29,13.8
1936,"2,172",23.3,789,3.1,"13,900",.21,17.6
1937 _ __________ ______________,"4,740",20.3,"1,860",7.2,"28,400",.43,15.3
,,23.6,688,2.8,"9,150",.15,13.3
1939,"2,613",23.4,"1,170",4.7,"17,800",.28,15.2
,,20.9,577,2.3,"6,700",.10,11.6
1941 __________ ______ _______,"4,288",18.3,"2,360",8.4,"23,000",.32,9.8
1942 _______----_______ ______ _--,"2,968",11.7,840,2.8,"4,180",.05,5.0
1943,"3,752",5.0,"1,980",6.9,"13,500",.15,6.8
1944 ____-________________________,"4,956",5.6,"2,120",7.0,"8,720",.09,4.1
1945 _________ ________ _________,"4,750",9.9,"3,470",12.2,"38,000",.47,11.0
1946,"4,985",24.2,"4,600",14.5,"116,000",1.43,25.2
1947 ______________ ____________ __,"3,693",25.6,"2,170",6.5,"34,600",.41,15.9
1948,"3,419",21.8,"1,960",5.5,"34,100",.37,17.4
1949,"3,606",22.5,"3,030",9.0,"50,500",. 59,16.7
1950,"4,843",19.2,"2,410",6.9,"38,800",.44,16.1
1951 ________________ ______ ____,"4,737",17.4,"2,220",5.5,"22,900",.23,10.3
1952 _____ ______ _________,"5,117",19.6,"3,540",8.8,"59,100",. 57,16.7
,,20.3,"2,400",5.6,"28,300",.26,11.8
1954,"3,468",22.5,"1,530",3.7,"22,600",.21,14.7
,,18.5,"2,650",6.2,"28,200",.26,10.7
1956 _ ________ _____ _____ _______,"3,825",18.9,"1,900",4.3,"33,100",.29,17. 4
1957,"3,673",19.2,"1,390",3.1,"16,500",.14,11.4
1958,,,'Bobo,,,,"11.1,"
,3 VI LI,1 41.1,,ut.S,"./.'4, aro",.2.2.,
1959,,,,,,,
1960,,,,,,,
