0,1,2,3,4,5,6
,,,Stoppages beginning in 1964,,,
,,,,,,"Man-days idle,"
,,,,,,1964 (all stoppages)
Major issue,,,,Workers involved,,
,Number,Percent,,,,
,,,Number,Percent,Number,Percent
Supplementary benefits,101,2.8,"44,300",2.7,"966,000",4.2
"Pensions, insurance, other welfare",,,,,,
programs,46,,"26,500",,"518,000",
Severance or dismissal pay; other,,,,,,
payments on layoff or separation,6,,880,,"16,500",
Premium pay,12,,"4,710",,"289,000",
Other,37,,"12,300",,"143,000",
Wage adjustments,168,4.6,"63,800",3.9,"345,000","1,5"
Incentive pay rates or administration,70,,"25,300",,"87,900",
Job classification or rates,55,,"23,200",,"163,000",
Downgrading,-,,-,,-,
Retroactivity,6,,"1,010",,"25,800",
Method of computing pay,37,,"14,300",,"67,600",
Hours of work,12,. 3,"3,310",. 2,"23, 000",",	1"
Increase,3,,270,,"1,260",
Decrease,9,,"3,030",,"21,800",
Other contractual matters,61,1.7,"17,900",1.1,"180,000",. 8
Duration of contract,12,,"4,340",,"109,000",
Unspecified,49,,"13,500",,"71,300",
Union organization and security,556,15.2,"86,800",5.3,"1,770,000",7.7
Recognition (certification),189,,"7,860",,"181,000",
Recognition and job security issues,12,,830,,"8,640",
Recognition and economic issues,139,,"16,900",,"443,000",
Strengthening bargaining position or,,,,,,
union shop and economic issues,80,,"18,000",,"535,000",
Union security,37,,"28,900",,"532,000",
Refusal to sign agreement,17,,490,,"9,270",
Other union organization matters,82,,"13,800",,"57,700",
Job security,213,5.8,"175,000",10.6,"1,470,000",6.4
Seniority and/or layoff,104,,"36,100",,"624,000",
Division of work,12,,"12,500",,"68,500",
Subcontracting,26,,"11,900",,"179,000",
New machinery or other technological,,,,,,
issues,22,,"80,000",,"444,000",
"Job transfers, bumping, etc",6,,"5,410",,"57,000",
Transfer of operations or prefabricated,,,,,,
goods,6,,400,,"3,130",
Other,37,,"28,400",,"99,100",
Plant administration,596,16.3,"576,000",35.1,"8,360,000",36.4
"Physical facilities, surroundings, etc",25,,"12,700",,"100,000",
"Safety measures, dangerous",,,,,,
"equipment, etc",33,,"13,500",,"47,100",
Supervision,21,,"3,500",,"7,990",
Shift work,26,,"12,200",,"51,500",
Work assignments,44,,"9, 850",,"79,400",
Speedup (workload),68,,"31,500",,"241,000",
Work rules,38,,"49,700",,"523,000",
Overtime work,12,,"2,960",,"38,600",
Discharge and discipline,224,,"96,400",,"542,000",
Other',105,,"344,000",,"6, 730, 000",
Other working conditions,51,1.4,"16,700",1.0,"132,000",. 6
Arbitration,9,,"1, 090",,"11,400",
Grievance procedures,24,,"12,000",,"102,000",
Unspecified contract violations,18,,"3,680",,"17,700",
Interunion or intraunion matters,454,12.4,"64,900",4.0,"307,000",1.3
Union rivalry',9,,520,,"2,670",
Jurisdiction-representation,,,,,,
of workers 3,16,,"2,000",,"9, 280",
Jurisdictional-work assignment,359,,"31,100",,"161,000",
Union administration 4,5,,"1,080",,"3,240",
Sympathy,64,,"26,700",,"116,000",
Other,1,,"3,500",,"14,200",
Not reported,24,.7,"3,140",.2,"7,970",(5)
