0,1,2,3,4,5,6,7
,,,Stoppages beginning in 1964,,,,
,_,,,,,,"Man-days idle,"
,,,,,,,1964 (all stoppages)
Contract status and major issue,,,,,Workers involved,,
,,Number,Percent,,,,
,,,,Number,Percent,Number,Percent
All stoppages,,"3,655",100.0,"1, 640, 000",100.0,"22, 900, 000",100.0
Negotiation of first agreement,,646,17.7,"67,000",4.1,"1, 490, 000",6.5
General wage changes and supplementary,,,,,,,
benefits,,175,,"14,500",,"341,000",
Wage adjustments,,6,,330,,"4, 780",
Hours of work,,-,,-,,1870,
Union organization and security,,408,,"48, 700",,"1, 060, 000",
Job security and plant administration,,41,,"2, 810",,"65, 300",
Interunion or intraunion matters_,,9,,540,,"2, 810",
Other,,7,,140,,"11,600,",
Renegotiation of agreement (expiration,,,,,,,
or reopening),,"1,613",44.1,"1, 100, 000",67.0,"19, 100, 000",83.2
General wage changes and supplementary,,,,,,,
benefits,,"1,312",,"609,000",,"9, 940, 000",
Wage adjustments,,29,,"10,000",,"146,000",
Hours of work,,9,,"2,950",,"21,200",
Union organization and security,,66,,"18, 800",,"513, 000",
Job security and plant administration,,132,,"441, 000",,"8, 240, 000",
Interunion or intraunion matters,,2,,680,,"1, 370",
Other,,63,,"17,600",,"224,000",
During term of agreement (negotiation of,,,,,,,
new agreement not involved),,"1,317",36.0,"462, 000",28.2,"2, 280, 000",9.9
General wage changes and supplementary,,,,,,,
benefits _,,-,,-,,-,
Wage adjustments,,126,,"52, 900",,"190, 000",
Hours of work,,3,,350,,"1, 020",
Union organization and security,,75,,"19, 100",,"191, 000",
Job security and plant administration,,616,,"306, 000",,"1,510,000",
Interunion or intraunion matters,,441,,"63, 700",,"302, 000",
Other,,56,,"19,400",,"80,400",
No contract or other contract status_,,59,1.6,"11,000",.7,"63, 100",.3
General wage changes and supplementary,,,,,,,
benefits,,29,,"9, 000",,"48, 800",
Wage adjustments,,6,,490,,"3, 940",
Hours of work,,-,,-,,-,
Union organization and security,,3,,190,,690,
Job security and plant administration,,16,,880,,"8,160",
Interunion or intraunion matters,,1,,20,,270,
Other_,,4,,390,,"1, 200",
No information on contract status,,20,.5,850,.1,"15, 300",.1
