0,1,2,3,4,5,6,7,8
,,,,STOPPAGES BEGINNING IN YEAR,,,,DAYS IDLE DURING YEAR
,,,,,,,,(ALL STOPPAGES)
,CONTRACT STATUS AND,,,,WORKERS INVOLVED,,,
,NUMBER OF WORKERS INVOLVED,,,,,,NUMBER,
,,,NUMBER,PERCENT,NUMBER,,(IN,PERCENT
,,,,,(IN,PERCENT,THOUSANDS),
,,,,,THOUSANDS),,,
,,,"6,074",100.0,"2,777.7",100.3,"47,990.9",100.3
ALL STOPPAGES,,,,,,,,
,,,592,9.7,7.3,.3,189.2,.4
6 AND UNDER 20,,,,,,,,
,,,"2,128",35.0,110.1,4.0,"2,102.7",0.4
20 AND UNDER 100,,,,,,,,
,,,"1,581",26.3,251.2,9.0,"4,342.4",9.0
100 AND UNDER 250,,,,,,,,
250 AND ORDER 500,,,923,15.2,320.5,11.5,"4,493.8",9.4
,,,426,7.0,292.9,13.5,"5,053.7",10.5
500 AND UNDER,"1,000",,,,,,,
,"1,000 AND UNDER 5,000",,355,5.8,682.6,24.6,"12,896.5",25.9
,"5,000 AND UNDER 10,000",,42,.7,277.4,13.3,"5,998.3",12.5
,,,27,.4,835.7,30.1,"12,914.3",26.9
"10,000 AND OVER",,,,,,,,
,NEGOTIATION OF FIRST AGREEMENT OR,,,,,,,
,,,585,9.6,101.8,3.7,"2,726.4",5.7
,UNION RECOGNITION,,,,,,,
,,,145,2.4,1.8,.1,67.2,.1
,6 AND UNDER 20,,,,,,,
,20 AND UNDER 100,,281,4.6,12.5,.4,377.0,.8
,,,93,1.5,14.1,.5,545.1,1.1
,100 AND UNDER 250,,,,,,,
,,,34,.6,11.4,.4,406.0,.8
,250 AND UNDER 500,,,,,,,
,"500 AND UNDER 1,000",,18,.3,12.7,.5,182.3,.4
,"1,000 AND UNDER 5,000",,11,.2,23.9,.9,836.1,1.7
,,,2,(1),14.5,.5,149.5,.3
"5,003","AND UNDER 10,030",,,,,,,
,,,1,(1),10.9,.4,163.1,.3
,"10,000 AND OVER",,,,,,,
,RENEGOTIATION OF AGREEMENT,,,,,,,
,(EXPIRATION OR REOPENING),,"3,593",59.2,"2,072.7",74.6,"42,688.4",89.0
,,,295,4.9,3.6,.1,98.7,.2
,6 AND UNDER 20,,,,,,,
,,,"1,302",21.4,69.0,2.5,"1,534.2",3.2
,20 AND UNDER 100,,,,,,,
,,,923,15.2,144.8,5.2,"3,443.7",7.2
,100 AND UNDER 250,,,,,,,
,250 AND UNDER 500....,,489,8.1,168.0,5.0,"3,651.7",7.6
,,,263,4.3,180.6,6.5,"4,475.3",9.3
,"500 AND UNDER 1,000",,,,,,,
,"1,000 AND UNDER 5,000",,268,4.4,519.0,18.7,"11,230.9",23.4
,,,30,.5,199.8,7.2,"5,628.0",11.7
,"5,000 AND UNDER 10,000",,,,,,,
,,,23,.4,787.9,28.4,"12,625.8",26.3
,"10,000 AND OVER",,,,,,,
,DURING TERM OF AGREEMENT,(NEGOTIATION,,,,,,
,,,"1,618",26.6,528.9,19.0,"1,848.9",3.9
,OF NEW AGREEMENT NOT INVOLVED) ......,,,,,,,
,,,91,1.5,1.2,(1),8.7,(1)
,6 AND UNDER 20,,,,,,,
,,,439,7.2,24.0,.9,105.5,.2
,20 AND UNDER 100,,,,,,,
,,,512,8.4,84.3,3.0,244.0,.5
,100 AND UNDER 250,,,,,,,
,250 AND UNDER 500,,368,6.1,130.2,4.7,348.4,.7
,,,131,2.2,90.4,3.3,312.9,.7
,"500 AND UNDER 1,000",,,,,,,
,,,67,1.1,124.5,4.5,627.4,1.3
,"1,000 AND UNDER 5,000",,,,,,,
,,"10,000",8,.1,48.1,1.7,140.7,.3
"5,000",AND UNDER,,,,,,,
,,,2,(1),26.2,.9,61.2,.1
,"10,000 AND OVER",,,,,,,
,NO CONTRACT OR OTHER CONTRACT STATUS,,118,1.9,48.6,1.8,293.2,.5
,,,34,.6,.4,(1),3.9,(1)
,6 AND UNDER 20,,,,,,,
,,,42,.7,1.7,.1,19.8,(1)
,20 AND UNDER 100,,,,,,,
,,,13,.2,2.1,.1,27.7,.1
,100 AND UNDER 250,,,,,,,
,,,17,.3,6.0,.2,29.2,.1
,250 AND UNDER 500,,,,,,,
,,,II,.1,2.7,.1,27.5,.1
,"500 AND UNDER 1,000",,,,,,,
,,,5,.1,10.D,.4,41.0,.1
,"1,000 AND UNDER 5.000",,,,,,,
,"5,000 AND UNDER","10,000",2,01,15.0,.5,80.0,.2
,,,1,(1),10.7,.4,64.2,.1
,"10,000 AND OVER",,,,,,,
,NO INFORMATION ON CONTRACT STATUS,,160,2.6,25.6,.9,433.9,.3
,6 AND UNDER 20,,27,.4,.3,(1),10.8,(1)
,,,64,1.1,2.9,.1,66.1,.1
,20 AND UNDER 100,,,,,,,
,100 AND UNDER 250,,40,.7,5.9,.2,81.9,.2
,,,15,.2,4.9,.2,58.4,.1
,250 AND UNDER 500,,,,,,,
,,,10,.2,6.4,.2,55.6,.1
,"500 AND UNDER 1,000",,,,,,,
,,,4,.1,5.2,.2,161.0,.3
,"1,000 AND UNDER 5,000",,,,,,,
,,,,,-,-,_,-
,"5,000 AND UNDER","10,000",-,-,,,,
,"10,000 AND OVER",,-,-,-,-,-,-
