0,1,2,3,4,5,6,7,8,9,10
"FINANCE, INSURANCE, AND REAL ESTATE",29,,,,,,,,,
,220,51,,96,39,14,12,,,
SERVICES,,,,,,,,,,
,384,26,,124,92,81,30,26,,1
GOVERNMENT 5/,,,,,,,,,,
,,,,,WORKERS INVOLVED (IN THOUSANDS),,,,,
,,,7.3,110.1,251.2,320.5,292.3,682.5,277.4,335.7
ALL INDUSTRIES,"1/2,777.7",,,,,,,,,
1)1.5,"1/1,145.3",,2.5,,,,153.5,354.4,,216.4
MANUFACTURING,,,,,,,,,,
,2.4,,,.1,.4,.3,,1.7,,
ORDNANCE AND ACCESSORIES,,,,,,,,,,
,68.2,,.3,5.8,7.9,11.8,19.3,23.3,,
FOOD AND KINDRED PRODUCTS,,,,,,,,,,
,6.D,,,,.1,,,5.3,,
TOBACCO MANUFACTURES,,,,,,,,,,
,22.7,(6),,.5,3.0,2.6,. s,4.9,11.0,
TEXTILE BILL PRODUCTS,,,,,,,,,,
,100.8,,,1.3,3.0,3.5,3.7,3.5,,85.7
"APPAREL, ETC. 2/",,,.1,,,,,,,
"LUMBER AND HOOD PRODUCTS, EXCEPT",,,,,,,,,,
,19.5,,.1,1.8,3.6,3.9,2.3,7.3,,
FURNITURE,,,,,,,,,,
,20.0,,.1,2.3,3.8,4.0,2.5,7.6,,
FURNITURE AND FIXTURES,,,,,,,,,,
,35.8,(6),,3.1,7.4,6.0,6.5,12.9,,
PAPER AND ALLIED PRODUCTS,,,,,,,,,,
"PRINTING, PUBLISHING, AND ALLIED",,,,,,,,,,
,23.5,,.2,.8,1.9,2.5,4.5,8.3,5.1,
INDUSTRIES,,,,,,,,,,
,41.5,,.1,3.0,8.0,4.3,9.4,11.2,5.5,
CHEMICALS AND ALLIED PRODUCTS,,,,,,,,,,
PETROLEUM REFINING AND RELATED,,,,,,,,,,
,5.5,(6),,.2,1.6,,.7,2.5,,
INDUSTRIES,,,,,,,,,,
RUBBER AND MISCELLANEOUS PLASTICS,,,,,,,,,,
,38.2,,.1,2.4,4.7,6.9,9.9,14.3,,
PRODUCTS,,,,,,,,,,
LEATHER AND LEATHER PRODUCTS,6.0,,,.3,.8,.9,1.9,2.1,,
"STONE, CLAY, AND GLASS PRODUCTS",35.3,,.3,3.7,6.4,5.0,5.9,14.1,,
,73.3,,.1,3.7,14.3,14.0,12.),18.1,,10.8
PRIMARY METAL INDUSTRIES,,,,,,,,,,
,,,,,,18.4,19.9,20.6,.7,-
FABRICATED Kam PRODUCTS 3/,87.6,,.11,9.4,18.4,,,,,
,170.4,,.2,8.0,16.7,22.6,21.4,66.7,34.3,
"MACHINERY, EXCEPT ELECTRICAL",,,,,,,,,,
"ELECTRICAL MACHINERY, EQUIPMENT, AND",,,,,,,,,,
,182.8,,.3,2.6,11.1,14.8,11.2,33.2,14.3,95.3
SUPPLIES,,,,,,,,,,
,181.0,(6),,3.1,6.7,11.1,17.2,88.5,29.7,24.7
TRANSPORTATION EQUIPMENT,,,,,,,,,,
,14.0,,,.,2.0,2.9,1.9,6.8,,
"INSTRUMENTS,	ETC. 4/",,,,,,,,,,
MISCELLANEOUS MANUFACTURING INDUSTRIES.,10.7,,.1,1.6,3.4,1.8,2.5,1.1,,
NONMANUFACTURING,"1/1,632.4",,4.8,56.1,126.1,182.8,,,,
,21.5,,,.2,.5,.3,,5.5,15.3 -,
"AGRICULTURE, FORESTRY, AND FISHERIES",,,,,,,,,,
62.8,,,,,,102.1,46.5,49.1,27.4,198.6
MINING.,,,,,,,,,,
,629.8,,1. 1,11.4,23.0,28.7,37.6,115.6,82.7,329.7
CONTRACT CONSTRUCTION,,,,,,,,,,
"TRANSPORTATION, COMMUNICATION,",,,,,,,,,,
,140.2,,.8,6.5,7.4,8.2,12.2,53.4,14.3,37.0
"AND SANITARY SERVICES.ELECTRIC, GAS,",,,,,,,,,,
,137.0,,1.6,11.8,11.6,12.0,13.4,35.3,B.),43.3
WHOLESALE AND RETAIL TRADE,,,,,,,,,,
"FINANCE, INSURANCE, AND REAL ESTATE",2.6,,.1,.8,.2,-,1.5,-,-,
,39.2,,.6,4.4,5.8,4.9,8.6,14.9,-,
SERVICES,,,,,,,,,,
,160.7,,.11,6.6,14.8,26.7,19.3,54.4,27.3,10.7
GOVERNMENT 5/,,,,,,,,,,
See footnotes at end of table.,,,,,,,,,,
