0,1,2,3,4,5,6,7,8,9,10,11
,,6.19,,20.99,,100.249,250.499,500.999,"1,000-4,999","5,000.9,999 1",
Industry group,Total,,,,,,,,,,1 workers
,,workers,,workers,,workers,workers,workers,workers,workers,
,,,,,,,,,,,and over
,,,,,,,Number of stoppages,,,,
An industries --------------,5.353,,583,,1.934,1.354,817,348,271,21,25
Manufacturing -----------------,'2.282,,189,,855,602,313,163,145,7,8
Ordnance and accessories ---___-----,,,,,1,1,,2,2,,
Food and kindred products --------,186,,18,,64,61,24,12,6,,
Tobacco manufactures -----------------,,,,,,,,,,,
Textile mill products -----------,46,,6,,18,14,3,3,2,,
"Apparel , etc. a -------------------",45,,5,,16,14,5,2,3,,
"Lumber and wood products, except",,,,,,,,,,,
furniture ---------------------,65,,9,,21,18,8,7,,,
Furniture and fixtures -----------------,82,,8,,29,30,9,5,1,,
Paper and allied products 	-----------------,98,,1,,31,38,17,9,2,,
"Printing, publishing and allied industries --",83,,17,,31,15,8,5,7,,
-----------Chemicals and allied products,132,,10,,56,31,20,10,5,,
Petroleum refining and related industries--,15,,,,6,3,3,,3,,
Rubber and miscellaneous plastics,,,,,,,,,,,
products -----------------,143,,5,,43,36,19,11,27,,2
Leather and leather products --------------,10,,,,3,5,2,,,,
"Stone, clay, and glas• products -----",176,,23,,86,35,19,8,5,,
Primary metal industries - 	--------,171,,6,,59,58,22,13,13,,
Fabricated metal products° --------------,295,,27,,135,69,42,16,4,,
"Machinery, except electrical -----",323,,24,,131,80,48,21,16,,2
"Electrical machinery, equipment, and",,,,,,,,,,,
,173,,17,,55,32,34,18,14,2,
Transportation equipment -----------------,160,,5,,40,45,17,18,31,,
"Instruments, etc.  4 --------------",35,,5,,11,7,6,3,3,,
Miscellaneous manufacturing industries ----,43,,3,,19,10,7,2,2,,
,,,,,"1,079",752,504,185,126,14,17
Nonmanufacturing -----------------,'3.072,,394,,,,,,,,
"Agriculture, forestry, and fisheries ---",11,,1,,5,1,,2,1,,
Mining,"1,079",,31,,265,390,295,73,21,,
Contract construction° ----------,538,,85,,191,1131,60,45,35,4,
"Transportation, communication, electric,",,,,,,,,,,,
"---------gas, and sanitary services",324,,71,,136,54,24,11,24,1,3
-----------Wholesale and retail trade,499,,128,,241,56,36,17,16,,2
"Finance, insurance, and real estate -----",24,,5,,14,1,3,,,,
,210,,33,,100,43,18,9,,,
,,,40,,127,94,68,28,24,,4
Government ° -------,387,,,,,,,,,,
,,,,,,Workers involved (in thousands),,,,,
All industries --------------,2.250.7,,7.1,,100.0,220.6,282.3,242.4,"564,0",142.8,812.0
Manufacturing -----------------,963.4,,2.4,,45.2,97.3,105.6,118.3,"304,5",41.0,249.1
,,,,,,,,"1,4",2.8,,
Ordnance and accessories --------------,4.4,,,,(	),.2,,,,,
,69.5,,.2,,3.1,10.3,8.2,8.0,9.6,,30.0
Food and kindred products,,,,,,,,,,,
Tobacco manufactures ----------------,,,,,,,,,,,
,9.4,,,,1.0,2.3,1.1,2.6,2.3,,
-----------Textile mill products,,,(7),,,,,,,,
"Apparel, etc. a",11.2,,,,.8,2.4,1.6,1.5,4.8,,
,,,(7),,,,,,,,
"Lumber and wood products, except",,,,,,,,,,,
furniture,16.8,,.1,,1.1,3.1,2.5,5.2,4.7,,
---------------Furniture and fixtures,14.7,,.1,,1.6,4.8,3.0,3.8,1.4,,
Paper and allied products -----,23.9,,,,1.9,6.3,5.7,6.3,3.7,,
,,,(7),,,,,,,,
"Printing, publishing, and allied industries -",23.2,,.2,,1.3,2.5,2.3,4.1,12.8,,
Chemicals and allied products,32.1,,.1,,2.8,4.8,6.6,6.9,10.9,,
Petroleum refining and related industries--,9.1,,,,.3,.4,1.0,•,7.3,,
Rubber and miscellaneous plastics,,,,,,,,,,,
,102.3,,,,2.1,6.0,6.4,8.3,51.1,,28.3
-products,,,(7),,,,,,,,
Leather and leather products ----------,2 .1,,.,,.2,1.1,.7,,,,
"Stone, clay, and glass products ----------",28.5,,.3,,4.8,5.2,5.9,6.0,6.3,,
-----Primary metal industries,56.6,,,,3.1,9.5,7.2,9.4,27.1,,
,,,(7),,,,,,,,
,,,.3,,6.9,10.7,14.1,10.3,9.0,6.7,18.7
Fabricated metal products° ----------,76.7,,,,,,,,,,
,167.0,,.3,,7.2,12.3,16.6,15.7,33.2,5.1,76.5
"Machinery, except electrical --------",,,,,,,,,,,
"Electrical machinery, equipment, and",,,,,,,,,,,
supplies,87.1,,.2,,2.8,5.4,12.4,13.0,26.7,10.8,15.8
,206.2,,,,,7.2,5.9,12.2,80.3,18.4,79.8
,,,,,,,,,,,
---------------Transportation equipment,,,(7),,2.3.5,,,,8.1,,
"Instruments, etc. • -----------------",13.8,,(7),,,1.1,1.9,2.1,,,
,,,,,1.0,1.5,2.4,1.4,2.5,,•
Miscellaneous manufacturing industries ---,8.9,,(7),,,,,,,,
