0,1,2,3,4
MANUFACTURING,"'2,420","2, 000, 000","18, 800, 000",0.45
Primary metal industries,279,"535, 000","1, 570, 000",.47
"Fabricated metal products (except ordnance,",,,,
"machinery, and transportation equipment)",282,"131, 000","1, 590, 000",. 57
Ordnance and accessories,13,"10, 800","140, 000",.42
"Electrical machinery, equipment, and",,,,
supplies,147,"202, 000","3, 300, 000",1. 15
Machinery (except electrical),306,"230, 000","3, 800, 000",. 95
Transportation equipment,200,"440, 000","1, 910, 000",.40
Lumber and wood products (except furniture),81,"11, 800","227, 000",. 12
Furniture and fixtures,121,"26, 000","287, 000",. 31
"Stone, clay, and glass products",110,"32, 600","495, 000",. 35
Textile mill products,96,"47, 800","1, 400, 000",. 51
Apparel and other finished products made,,,,
from fabrics and similar materials,139,"15, 000","136, 000",.04
Leather and leather products,50,"40, 400","542, 000",. 56
Food and kindred products,169,"40, 400","974, 000",. 25
Tobacco manufactures,,,,(2)
,3,340,"1, 220",
Paper and allied products,67,"13, o00","197, 000",. 14
"Printing, publishing, and allied industries",29,"7, 660","176, 000",. 08
Chemicals and allied products,105,"40, 000","634, 000",. 31
Products of petroleum and coal,18,"3, 190","51, 000",. 08
Rubber products,105,"124,000","490,000",.69
"Professional, scientific, and controlling",,,,
instruments; photographic and optical,,,,
goods; watches and clocks,30,"34, 000","694, 000",. 87
Miscellaneous manufacturing industries,99,"14, 300","191, 000",. 16
NONMANUFACTURING,"' 1, 913","646, 000","9, 390, 000",. 14
"Agriculture, forestry, and fishing",11,"3, 080","14, 200",
,,,,(3)
Mining,343,"114, 000","1, 080, 000",. 57
ConstrUction,733,"204, 000","1, 810, 000",.28
Trade,409,"52, 300","1, 090, 000",. 04
"Finance, insurance, and real estate",8,550,"27, 300",
,,,,(3)
"Transportation, communication, and",,,,
_a	other public utilities,275,"253, 000","4, 860, 000",.47
"Services-personal, business, and other",121,"17,800","488,000",
,,,,(3)
"Government-administration, protection,",,,,
and sanitation 4,17,"1,470","7,210",
,,,,(3)
