0,1,2,3,4,5,6
,,Percent,,Percent,,Percent
,,of,,of,,of
,Number total,,Number,total,Number,total
Total stoppages covered 1,482,100.0,"152,000",100.0,"2,330,000",100.0
Wages and hours,36,7.5,"3,710",2.4,"27,300",1.2
Fringe benefits,28,5.8,"21,100",13.9,"225,000",9.7
Union organization,38,7.9,"1,470",1.0,"43,400",1.9
Working conditions,88,18.3,"78,400",51.6,"1,510,000",64.9
Interunion matters,229,47.5,"22,300",14.7,"93,700",4.0
Combination,30,6.2,"9,110",6.0,"81,900",3.5
Other,33,6.8,"15,900",10.5,"347,000",14.9
