0,1,2,3,4,5,6
,,Stoppages beginning in 1963,,,,
,,,,,,Man-days idle during
,,,,,,1963 (all stoppages)
Major issue,,,Workers involved,,,
,Number,Percent,,,,
,,,Number,Percent,Number,Percent
,77,2.3,"25,400",2.7,"258,000",1.6
Supplementary benefits,,,,,,
"Pensions, insurance, other welfare",,,,,,
,27,,"4,740",,"56,800",
programs-,,,,,,
Severance or dismissal pay; other,,,,,,
payments on layoff or separation,7,,460,,"14,000",
Premium pay,9,,"1,690",,"28,500",
,34,,"18,500",,"159,000",
Other _,,,,,,
Wage adjustments ------------ _ -------,164,4.9,"46,800",5.0,"490,000",3.0
Incentive pay rates or administration,60,,"18,100",,"249,000",
Job classification or rates,57,,"18,400",,"178,000",
,-,,-,,-,
Downgrading,,,,,,
,11,,"1,980",,"11,000",
Retroactivity,,,,,,
Method of computing pay,36,,"8,270",,"51,800",
Hours of work ------- __________________ -----------,10,. 3,"4,190",.4,"75,000",. 5
Increase-_________ ------- ____--- -----,1,,30,,30,
,9,,"4,160",,"75,000",
Decrease,,,,,,
,32,1.0,"5,370",.6,"132,000",.8
Other contractual matters,,,,,,
,11,,"4,100",,"113,000",
Duration of contract,,,,,,
,21,,"1,270",,"18,400",
Unspecified,,,,,,
,531,15.%,"94,300",10.0,"1,640,000",10.2
Union organization and security,,,,,,
,209,,"10,500",,"203,000",
Recognition (certification),,,,,,
Recognition and job security issues,8,,380,,"16,300",
,78,,"3,400",,"113,000",
Recognition and economic issues,,,,,,
Strengthening bargaining position or,,,,,,
,92,,"34,300",,"749,000",
union shop and economic issues,,,,,,
,38,,"24,500",,"289,000",
Union security,,,,,,
,14,,940,,"22,800",
Refusal to sign agreement,,,,,,
Other union organization matters,92,,"20,200",,"250,000",
,210,6.2,"74,200",7.9,"611,000",3.8
Job security,,,,,,
,118,,"48,400",,"440,000",
Seniority and/or layoff,,,,,,
,4,,"1,150",,"14,500",
Division of work,,,,,,
,26,,"8,910",,"44,000",
Subcontracting,,,,,,
New machinery or other technological,,,,,,
,13,,"5,040",,"42,200",
issues,,,,,,
,13,,"3,300",,"37,700",
"Job transfers, bumping, etc_",,,,,,
Transfer of operations or prefabricated,,,,,,
,5,,970,,"3,580",
goods,,,,,,
,31,,"6,500",,"29,300",
Other,,,,,,
,548,16.3,"225,000",23.9,"1,670,000",10.4
Plant administration,,,,,,
"Physical facilities, surroundings, etc",21,,"4,900",,"13,900",
"Safety measures, dangerous",,,,,,
,37,,"13,000",,"82,300",
"equipment, etc",,,,,,
,23,,"13,100",,"36,000",
Supervision,,,,,,
,22,,"4,700",,"25,600",
Shift work,,,,,,
,32,,"9,080",,"32,700",
Work assignments,,,,,,
,54,,"44,200",,"272,000",
Speedup (workload) _,,,,,,
,47,,"30,100",,"628,000",
Work rules,,,,,,
,16,,"3,920",,"41,000",
Overtime work,,,,,,
,211,,"86,100",,"316,000",
Discharge and discipline,,,,,,
,85,,"16,000",,"223,000",
Other,,,,,,
,58,1.7,"15,800",1.7,"121,000",.7
Other working conditions,,,,,,
,9,,"1,830",,"14,700",
Arbitration,,,,,,
,27,,"10,800",,"73,600",
Grievance procedures,,,,,,
,22,,"3,170",,"32,300",
Unspecified contract violations,,,,,,
,381,11.3,"51,500",5.5,"352,000",2.2
Interunion or intraunion matters,,,,,,
,10,,610,,"15,600",
Union rivalry',,,,,,
representationJurisdiction,,,,,,
,11,,"1,250",,"4,930",
of workers,,,,,,
,292,,"32,000",,"130,000",
Jurisdictional-work assignment _,,,,,,
,3,,180,,380,
Union administration 3 ___-,,,,,,
,65,,"17,400",,"201,000",
Sympathy,,,,,,
,-,,-,,-,
Other,,,,,,
,29,.9,"3,890",.4,"25,500",.2
Not reported,,,,,,
