0,1,2,3,4,5,6,7,8
Hours of work _,8,,"4,060",,,"69,400",,
Union organization and security-,60,,"53,800",,,"927,000",,
Job security and plant administration,111,,"45,000",,,"1,110,000",,
Interunion or intraunion matters,4,,480,,,"7,350",,
,38,,"7,280",,,"184,000",,
During term of agreement (negotiation of,,,,,,,,
new agreement not involved)_...- ------- - ----- ___,"1,204",35.8,"364,000",38.7,,"1,790,000",,11.1
General wage changes and supplementary,,,,,,,,
benefits,-,,-,,,-,,
.,,,,,,,,
Wage adjustments_,107,,"30,300",,,"159,000",,
Hours of work _,1,,30,,,30,,
Union organization and security,84,,"17,100",,,"136,000",,
Job security and plant administration,590,,"250,000",,,"1,090,000",,
Interunion or intraunion matters,359,,"49,900",,,"326,000",,
Other,63,,"16,100",,,"83,000",,
No contract or other contract status,63,1.9,"6,470",,.7,"40,000",,. 2
General wage changes and supplementary,,,,,,,,
____benefits,32,,"4,660",,,"34,900",,
Wage adjustments-------___-_____________,4,,200,,,360,,
Hours of work _,-,,-,,,-,,
Union organization and security-------------,4,,130,,,810,,
Job security and plant administration ----,15,,460,,,"1,770",,
Interunion or intraunion matters __________,4,,100,,,250,,
Other _,4,,920,,,"1,980",,
No information on contract status--------,29,.9,"1,360",.,1,"10,800",.,1
