0,1,2,3,4,5,6
,,,"Table 8. Work Stoppages by State, 1962",,,
,,,Stoppages beginning,,,Man-days dle during
,,,in 1962,,,1962 (all s toppages)
,,,,,,Percent of
,State,,,,,
,,,,,,estimated
,,,,Workers,,
,,Number,,,Number,total
,,,,involved,,
,,,,,,working
,,,,,,time
United States,,"'3,614",,"1, 230, 000","18, 600, 000",0.16
Alabama,,50,,"19, 900","196, 000",0.12
Alaska,,10,,"1, 040","10, 200",.12
Arizona,,"2,6",,"16, 800","175, 000",.24
Arkansas,,22,,"4, 220","41, 700",.05
California,,263,,"143, 000","2,660,000",.25
Colorado,,33,,"6,710","273, 000",.25
Connecticut,,63,,"26, 000","450, 000",.21
Delaware,,12,,"4,420",46.900,.14
District of Columbia,,5,,370,"2, 200",(2)
Florida,,48,,"13,500","456, 000",.16
Georgia,,21,,"4,780","193, 000",.08
Hawaii,,34,,"4, 190","71, 000",.19
Idaho,,22,,"2,860","47, 600",.15
Illinois,,240,,"63, 700","99s, 000",.13
Indiana,,136,,"47, 000","821, 000",.26
Iowa,,48,,"15, 500","145, 000",.10
Kansas,,14,,"1,460","47, 000",.04
Kentucky,,90,,"27, 000","236, 000",.17
Louisiana,,45,,"20, 000","459, 000",.28
Maine,,12,,"1, 240","11, 200",.02
Maryland,,42,,"15, 000","151, 000",.07
Massachusetts,,153,,"23,100","442, 000",.10
Michigan,,196,,"81, 400","1, 440, 000",.28
Minnesota,,47,,"10, 100","259, 000",.12
Mississippi,,7,,"1, 850","15,800",.02
Missouri,,95,,"26, 000","361, 000",.12
Montana,,21,,"5, 890","169, 000",.51
Nebraska,,26,,"3,810","57,200",.07
Nevada,,31,,"3,640","49,900",.19
New Hampshire,,15,,"3, 020","16,400",.04
New Jersey,,238,,"58, 000","646, 000",",I4"
New Mexico,,17,,"6,330","175, 000",.39
New York,,464,,"214, 000","2,410, 000",.18
North Carolina,,17,,"6, 100","96,900",.04
North Dakota,,7,,"1, 060","17, 500",.07
Ohio,,298,,"75, 100","1, 110, 000",.16
Oklahoma,,18,,"1,980","50, 800",.04
Oregon,,37,,"17, 200","177, 000",.16
Pennsylvania,,397,,"118, 000","1, 390, 000",.17
Rhode Island,,25,,"4,080","46,400",.07
South Carolina,,10,,760,"12, 500",.01
South Dakota,,9,,860,"18, 900",.07
Tennessee,,49,,"8, 580","208,000",.10
Texas,,86,,"23, 100","468, 000",.08
Utah,,19,,"4,650","21,000",.04
Vermont,,13,,"2, 280","89, 800",.38
Virginia,,37,,"10,100","110,000",.05
Washington,,85,,"42, 400","727, 000",.42
West Virginia,,84,,"17, 200",201. 000,.21
Wisconsin,,64,,"21, 900","289, 000",.11
Wyoming,,9,,530,"8,220",.04
