0,1,2,3,4,5,6
14,,,,,,
,,"Table 9. Work Stoppages by Metropolitan Area, 1962'",,,,
,,Stoppages,,,Stoppages,
,beginning in,,Man-days idle,,beginning in,Man-days idle
Metropolitan area,,1962,during 1962,Metropolitan area,1962,during 1962
,Num-,Workers,(all stoppages),Num-,Workers,(all stoppages)
,ber,involved,,ber,involved,
"Akron, Ohio _________-_ -",29,"5, 140","47,700","Jackson, Mich_____	_______7",230,"77, 300"
Albany-Schenectady--,,,,"5Jacksonville, Fla ______-",340,"10,400"
"Troy, N. Y",16,970,"30, 800","40Jersey City, N. J ____-____-","6, 970","92, 600"
"Albuquerque, N. Mex ________",7,"1, 040","4, 930","7Johnstown, Pa_	_______","1,230","34, 100"
"Allentown-Bethlehem-Easton,",,,,"6Kalamazoo, Mic_h_______.-","2, 290","12, 500"
_	Pa.-N. J	___ ----,27,"3, 740","34,400",,,
"Altoona, Pa __-- _____ -___",5,420,"2, 070",,,
,,,,"27Kansas City, Mo.-Kane ___","6, 540","48, 200"
"Ann Arbor, Mich __-----",5,"1, 070","28, 200",Kingston-Newburgh-,,
"_Atlanta, Ga ----",12,"2, 130","89, 900","Poughkeepsie, N. Y -__---14","1, 350","17, 000"
"Bakersfield, Calif __",6,"2, 650","86, 600","7Knoxville, Tenn_____________",370,"4, 580"
Baltimore. Md __ _____ _____,32,"12, 500","138, 000","Lake Charles, La9",750,"5, 990"
"Baton Rouge, La ---- _",7,"1, 800","16, 900","7Lancaster, Pa __________-",740,"5, 050"
"Bay City, Mich_-___ -_",7,"1,060","9,430","8Lansing, Mich _--__________",770,"15, 100"
"Beaumont-Port Arthur, Tex _",17,"3, 800","43, 500","Las Vegas, Nev_______.._......9","1, 080","11, 900"
"Binghamton, N. Y -----_",11,"1, 500","15, 000","Lawrence-Haverhill,",,
"Birmingham, Ala",12,880,"29,400",,240,"2,460"
"____Boston, Mass",68,"12, 700","204, 000",Little Rock-North Little,,
,,,,"5Rock, Ark ----","1,650","6,750"
"Bridgeport, Conn ______",7,650,"2,590","8Lorain-Elyria, Ohio __...--","1, 500","34, 800"
"Brockton, Mass",6,300,"2, 100",,,
"Buffalo, N Y",,9; 590,"77, 300",Los Angeles-Long,,
,33,,,,,
