0,1,2,3,4,5,6,7
,Period,,Percent of,,,,
,,Number,total for,,Percent of,,Percent of
,,,,Number,,Number,
,,,period,,total for,,total for
,,,,(thousands),,(thousands),
,,,,,period,,period
1935-39 average,,11,0.4,365,32.4,"5, 290",31. 2
1947-49 average _,,18,.5,"1, 270",53.4,"23, 800",
,,,,,,,59. 9
1945,,42,.9,"1,350",38.9,"19, 300",50. 7
1946 _,,31,.6,"2, 920",63.6,"66, 400",57. 2
1947,_______,,,,,,
,,15,.4,"1, 030",47. 5,"17,700",51.2
1948,,20,.6,870,44. 5,"18,900",55. 3
1949,,18,.5,"1,920",63. 2,"34, 900",69. 0
1950 ____________ ______________,,22,.5,738,30.7,,
,,,,,,"21, 700",56. 0
1951--------------------,,19,.4,457,20.6,"5, 680",24. 8
1952 _-,,35,.7,"1, 690",47.8,"36, 900",62. 6
1953 -,,28,.5,650,27.1,"7, 270",
,,,,,,,25. 7
1954 ______________,,18,.5,437,28.5,,
,,,,,,"7, 520",33. 3
1955,,,,,,,
1956,,,,,,,
