0,1,2,3,4,5,6,7
,,,,,,,time
1959,,,,,,,
,,378,76,168,0.39,"1, 800",0.20
,,347,74,130,. 31,"1, 360",. 16
March ____________ ______ _____,305,462,103,159,. 37,"1, 270",. 13
April,406,593,149,233,. 54,"2, 380",. 25
,,688,167,294,. 67,"3, 010",. 33
,,722,183,330,. 74,"2, 890",. 29
,,681,668,787,1.78,"9, 230",. 95
,,636,161,757,1.71,"13, 400",1.44
,,624,109,781,1.76,800,1.48
,,548,125,775,1. 75,100,1.45
November,161,402,41,652,1.47,"4, 300",.48
December,112,285,23,101,.22,"1,430",.14
1960,,,,,,,
,,313,71,131,.30,"1, 110",. 13
February,242,373,65,128,.29,"1,280",.14
March,270,430,85,130,.30,"1, 550",. 15
,,535,150,i 222,. 50,930,.21
,,574,156,236,. 53,110,.23
,,629,214,314,. 70,"2, 950",. 30
,,530,125,233,. 52,"2, 140",. 24
,,554,134,221,.49,"1, 700",. 16
September _______________________,271,500,131,209,.46,"1, 650",. 17
,,432,106,146,. 33,"1, 500",. 16
November,192,368,53,85,.19,732,.08
December _____________________,110,250,28 •,53,. 12,458,.05
