0,1,2,3,4,5,6,7
,,,,,,,working
,,,,,,,time
1958,,,,,,,
January,208,307,83,98,0. 23,595,0. 06
February,159,262,36,52,. 12,404,. 05
March ___—_—____---,195,309,159,182,. 43,"1, 240",. 14
April,293,411,82,122,. 29,"1, 100",. 12
May,360,519,156,200,.48,"1,940",.22
June,374,552,156,247,. 58,850,.21
July,399,596,159,238,. 56,160,. 23
August,403,638,162,288,.67,"2, 160",.24
September,471,7 12,324,414,. 96,"2, 400",. 26
October,391,637,463,531,1.23,"5,420",.55
November,305,497,224,296,.68,"2, 2 10",.27
December,136,357,58,169,. 39,"2,430",.25
1959,,,,,,,
January,217,378,76,168,. 39,"1, 800",. 20
February,206,347,74,130,.31,"1,360",. 16
March,305,462,103,159,.37,"1, 27 0",. 13
April,406,593,149,233,. 54,"2, 380",. 25
May,442,688,167,294,. 67,"3, 010",. 33
June,460,722,183,330,.74,"2,890",.29
July,420,681,668,787,1. 78,"9, 230",. 95
August,380,636,161,757,1.71,"13,400",1.44
September,322,624,109,781,1.76,800,1.48
October,277,548,125,775,1. 75,100,1.45
November,161,402,41,652,1. 47,"4, 300",", 48"
December,112,285,23,101,.22,"1,430",. 14
