0,1,2,3,4,5,6,7,8,9
"1,000 and under 5,000",213,20,38,35,47,37,20,,11
"5,000 and under 10,000",24,,,22,63,52,,522,23
"10,000 and over",18,,,,,,,,
,,,,,Workers involved (in thousands),,,,
All workers,"1,763.6",198.5,271.5,223.0,308.3,290.9,232.1,90.4,148.9
6 and under 20,8.2,1.0,1.0,.7,1.7,1.2,1.2,.7,.8
20 and under 100,94.6,15.4,13.4,9.1,16.9,15.0,13.6,5.4,5.8
100 and under 250,197.4,36.5,38.5,31.1,28.0,22.4,22.6,9.0,9.4
250 and under 500,240.1,43.0,54.2,44.1,39.0,18.7,23.6,7.6,10.0
"500 and under 1,000",211.6,26.9,40.2,32.1,43.3,22.3,18.2,12.6,16.0
"1,000 and under 5,000",432.7,40.3,68.1,70.9,97.8,84.5,34.5,12.7,23.9
"5,000 and under 10,000",170.3,12.0,17.3,12.0,37.4,34.8,22.8,17.4,16.7
"10,000 and over",408.5,23.5,38.9,23.0,44.2,92.0,95.6,25.0,66.4
,,,,,Man-days idle (in t housands),,,,
All workers,"31,575.4",198.5,542.3,721.0,"1,852.9","3,573.9",5.709.0,"3,479.3","15,498.3"
6 and under 20,184.6,1.0,2.1,2.6,12.3,17.2,35.6,32.3,81.6
20 and under 100,1.682.6,15.4,26.5,31.9,121.0,220.6,402.0,264.2,601.0
100 and under 250,"2,739.1",36.5,71.6,99.2,189.4,328.4,665.8,456.0,892.0
250 and under 500,"2,825.3",43.0,104.0,141.0,268.3,260.2,677.8,365.4,965.8
"500 and under 1,000","3,290.5",26.9,76.7,92.6,275.7,291.2,509.4,612.1,"1,405.9"
"1,000 and under 5,000","6,045.3",40.3,140.9,257.8,532.2,"1,142.2","1,022.7",618.9,"2,290.4"
"5,000 and under 10,000","3,106.0",12.0,36.7,49.0,231.5,362.8,831.5,391.6,"1,190.9"
"10,000 and over","11,702.1",23.5,83.9,47.0,222.7,951.4,"1,564.2",738.8,"8,070.7"
,,,,,Number of stoppages (percent),,,,
All workers,100.0,15.6,16.5,12.7,17.6,13.5,12.6,5.3,6.2
6 and under 20,13.2,1.6,1.6,1.2,2.7,1.9,2.0,1.0,1.3
20 and under 100,37.2,5.7,5.0,3.1,6.8,6.1,5.4,2.1,2.4
100 and under 250,24.4,4.5,4.7,3.7,3.5,2.9,2.8,1.1,1.2
250 and under 500,13.9,2.5,3.2,2.4,2.3,1.1,1.4,.4,.6
"500 and under 1,000",6.2,.8,1.2,.9,1.3,.6,.6,.4,.5
"1,000 and under 5,000",4.2,.4,.8,.7,.9,.7,.4,.1,
"5,000 and under 10,000",.5,(I),(2),(a),.1,.1,.1,,(a)
"10,000 and over",.4,(5),.1,,.1,(2),(5),,.1
,,,,,Workers involved (percent),,,,
All workers_,100.0,11.3,15.4,12.6,17.5,16.5,13.2,5.1,8.4
6 and under 20,.5,.1,.1,(1),,.1,.1,(5),(5)
20 and under 100,5.4,.9,.8,.5,1.0,.8,.8,.3,.3
100 and under 250,11.2,2.1,2.2,1.8,1.6,1.3,1.3,.5,.5
250 and under 500,13.6,2.4,3.1,2.5,2.2,1.1,1.3,.4,.6
"500 and under 1,000",12.0,1.5,2.3,1.8,2.5,1.3,1.0,.7,.9
1.000 end under 5.000,24.5,2.3,3.9,4.0,5.5,4.8,2.0,.7,1.4
"5,000 and under 10,000",9.7,.7,1.0,.7,2.1,2.0,1.3,1.0,.9
"10,000 and ever",23.2,1.3,2.2,1.3,2.5,5.2,5.4,1.4,3.8
,,,,,Man-days idle (percent),,,,
All workers,100.0,.6,1.7,2.3,5.9,11.3,18.1,11.0,49.1
6 and under 20,.6,,(I),(I),(*),.1,.1,.1,.3
20 and under 100,5.3,(2),.1,.1,.4,.7,1.3,.8,1.9
100 and under 250,8.7,.1,.2,.3,.6,1.0,2.1,1.4,2.8
250 and under 500,8.9,.1,.3,.4,.8,.8,2.1,1.2,3.1
"500 end under 1,000",10.4,.1,.2,.3,.9,.9,1.6,1.9,4.5
"1,000 and under 5.000",19.1,.1,.4,.8,1.7,3.6,3.2,2.0,7.3
"5.000 and under 10,000",9.8,,.1,.2,.7,1.1,2.6,1.2,3.8
"10,000 and over",37.1,.1,.3,.1,.7,3.0,5.0,2.3,25.6
