0,1,2,3,4,5,6
,-,,-,,-,
Wage adjustments_-- --_____,138,,"35, 700",,"162, 000",
Hours of work--,3,,"1, 090",,"1, 090",
Union organization and security __________,83,,"19, 800",,"83, 800",
Job security and plant administration__ ------ ---,608,,"299, 000",,"1, 880, 000",
Interunion or intraunion matters _______________,453,,"78, 400",,"412, 000",
Other ---_____--------------- -------- ----,89,,"29, 000",,"168, 000",
No contract or other contract status _______________,69,1.7,"8, 610",. 6,"55, 900",. 2
General wage changes and supplementary,,,,,,
benefits,36,,"3, 300",,"20, 000",
,9,,"2, 850",,"12, 500",
Hours of work._-,-,,-,,-,
Union organization and security _-___,4,,140,,"1, 050",
Job security and plant administration_-_______,13,,970,,"11, 200",
Interunion or intraunion matter  s -,2,,110,,650,
Other --,5,,"1, 240",,"10, 600",
No information on contract status____ ------ -------,26,.7,"1, 750",. 1,"41, 600",. 2
