0,1,2,3,4,5,6,7,8,9,10,11,12,13
Region,,,,,,,,,,,,,
,,1965,1964,,1965,1964,,1965,,1964,,1965,1964
United States,,"23, 963","23, 655",,"1, 550, 000","1, 640, 000",,"23, 300, 000",,"22, 900, 000",,0.18,0. 18
New England,,293,,273,"106, 000","63,",900,"1, 250, 000",,"712,",000,0. 14,0.08
Middle Atlantic,"1,",012,"1,",051,"363, 000","354,",000,"5, 310, 000","4,","090,",000,.19,. 15
East North Central,"1,",091,,987,"387, 000","671,",000,"5, 840, 000","9,","880,",000,. 21,. 37
West North Central,,317,,253,"100, 000","63,",500,"1, 180, 000",,"925,",000,. 12,. 10
South Atlantic,,423,,397,"128, 000","151,",000,"2,060,000","2,","420,",000,. 12,. 14
East South Central,,283,,239,"108, 000","74,",800,"1, 760, 000",,"150,",000,. 26,. 18
West South Central,,238,,188,"78,700","60,",900,"1, 590, 000",,"627,",000,.16,. 06
Mountain_,,179,,172,"60, 600","69,",400,"1, 100, 000",,"776,",000,. 26,. 19
Pacific,,466,,365,"213, 000","132,",000,"3, 220, 000",,"350,",000,. 21,. 16
