0,1,2,3,4,5,6,7
,,,,,during,Number,estimated
,,in,during,in month,,,
,,,,,month,(thousands),total
,,month,month,(thousands),,,
,,,,,(thousands),,working time
,1964,,,,,,
January,,211,375,53,91,898,0.09
February,,233,375,81,116,"1, 040",. 11
March,,241,399,79,123,816,.08
April,,364,529,140,187,"1, 170",. 11
May,,442,651,192,249,"2, 400",. 24
June,,376,586,124,222,"1,900",.18
July,,416,639,126,195,"1,740",.15
August,,306,556,73,133,"1,200",.12
September,,336,574,374,432,"2, 390",. 23
October,,346,584,214,549,"6,590",.61
November,,238,469,141,274,"1, 730",. 17
December,,146,346,42,149,"1, 060",. 10
,1965,,,,,,
January,,244,404,99,183,"1,740",.18
February,,208,393,45,149,"1,440",.15
March,,329,511,180,274,"1, 770",.16
April,,390,603,141,194,"1, 840",. 17
May,,450,669,127,201,"1,850",.19
June,,425,677,268,354,"2, 590",.23
July,,416,702,156,334,"3,670",.34
August,,388,685,109,229,"2,230",.20
September,,345,631,155,250,"2, 110",. 20
October,,321,570,101,209,"1,770",.16
November,,289,505,140,192,"1,380",.13
December,,158,371,24,76,907,.08
