0,1,2,3,4,5
,,,Workers involved,,Man-days idle
Period,Number,,Percent of,,Percent of
,,Number,,Number,
,,,total for,,total for
,,(thousands),,(thousands),
,,,period,,period
,42,"1,350",38.9,"19,300",50.7
1946-,31,"2,920",63.6,"66,400",57.2
,15,"1,030",47.5,"17,700",51.2
1948--,20,870,44.5,"18,900",55.3
1949,18,"1,920",63.2,"34,900",69.0
1950,22,738,30.7,"21,700",56.0
1951-,19,457,20.6,"5,680",24.8
1952 --------- - ----- ------ -----,35,"1,690",47.8,"36,900",62. 6
I953----- ------------- --------------,28,650,27.1,"7,270",25.7
1954,18,437,28.5,"7,520",33.3
,26,"1,210",45.6,"12,300",43.4
1956,12,758,39.9,"19,600",59.1
1957,13,283,20.4,"3,050",18.5
1958-,21,823,40.0,"10,600",44.2
1959-,20,845,45.0,"50,800",73.7
1960---------------- --------------------- -,17,384,29.2,"7,140",37.4
1961-,14,601,41.4,"4,950",30.4
1962----------------- -------- -------- ----- -,16,318,25.8,"4,800",25.8
1963------------ ----- --------- ---------,7,102,10.8,"3,540",22.0
1964-----,18,607,37.0,"7,990",34.8
1965,21,387,25.0,"6,070",26.0
1966,26,600,30.7,"7,290",28.7
