0,1,2,3,4,5,6
,,,,,,9
,"Table 6. Work Stoppages by Industry Group, 1966",,,,,
,,,Man-days,"idle,",1966,
,,Stoppages beginning in 1966,,,,
,,,,(all stoppages),,
Industry group,,,,,Percent of,
,,Worker s,,,,
,Number,,Number,,estimated total,
,,involved,,,,
,,,,,working time,
All industries,"1 4, 405",1 960 000,"25, 400, 000",,0. 19,
Manufacturing,"1 2, 295","922, 000","13, 700, 000",,0. 28,
Ordnance and accessories,13,"8, 680","62, 500",,. 10,
Food and kindred products,187,"46,600","528, 000",,12,
Tobacco manufactures,,,,,,
Textile mill products,56,"25,700","195, 000",,. 08,
Apparel and other finished products made from,,,,,,
fabrics and similar materials,100,"11,800","263, 000",,. 07,
"Lumber and wood products, except furniture",48,"10, 300","253, 000",,. 16,
Furniture andfixtures,81,"16, 800","199, 000",,", 17",
Paper and allied products,92,"26, 200","336, 000",,. 20,
"Printing, publishing, and allied industries",66,"19, 500","621, 000",,. 24,
Chemicals and allied products,151,"44, 600",727;000,,. 30,
Petroleum refining and related industries--------,14,"1, 240","13, 500",,. 03,
Rubber and miscellaneous plastics products,83,"27, 300","433, 000",,. 33,
Leather and leather products,32,"8, 220","99, 200",,.11,
"Stone, clay, and glass products",142,"31, 600","594, 000",,. 36,
Primary metal industries,219,"98, 600","1, 540, 000",,. 46,
"Fabricated metal products, except ordnance,",,,,,,
"machinery, and transportation equipment",277,"76, 100","1, 290, 000",,. 37,
"Machinery, except electrical",301,"136, 000","2, 440, 000",,.51,
"Electrical machinery, equipment, and supplies",189,"168, 000","2, 410, 000",,. 50,
Transportation equipment,162,"150, 000","1, 330, 000",,. 27,
"Professional, scientific, and controlling instruments;",,,,,,
photographic and optical goods; watches and clocks ---,37,"5, 930","148, 000",,. 14,
Miscellaneous manufacturing industries,48,"8, 480","181, 000",,.16,
Nonmanufacturing,"1 2, 110","1, 040, 000","11, 700, 000",,2 . 14,
"Agriculture, forestry, and fisheries -",20,"5, 490","50, 900",,,
Mining,194,"96, 100","794, 000",,. 50,
Contract construction ------------------,977,"455, 000","6, 140, 000",,.73,
"Transportation, communication, electric, gas, and",,,,,,
sanitary services,240,"312, 000","3, 390, 000",,. 32,
Wholesale and retail trade,365,"42, 300","508, 000",,02,
"Finance, insurance, and real estate",14,"1, 730","27, 600",,,
Services,159,"21, 100","358, 000",,. 01,
Government-,142,"105, 000","455, 000",,02,
,,,,,(3),
State,9,"3, 090","6, 010",,,
Local,133,"102, 000","449, 000",,(3),
