0,1,2,3,4,5,6
,"Table A-1. Work stoppages in the United States, 1927-691",,,,,
,,Work stoppages,,Workers involved a,,Man-days idle during year
,,,,,,Percent of
,,Duration,,Percent,,
Year,,,,,,Perestimatedte	total
,,,,ofNumber,Number,
,Number,,,,,workerworking time
,,,,(thousands)total,(thousands),
,,Mean 3,Median,,,Private non-involvedTotal
,,,,employed,,
,,,,,,agriculturaleconomy
,,,,,,(4)0. 37
1927,707,26.5,3,1. 4330,"26, 200",79. 5
,,,,,,(4). 1740. 2
,604,27.6,(4),1. 3314,"12, 600",
,,,(4),,,(4). 0718. 5
,921,22.6,,289L 2,"5,350",
1929 --------,,,,,,(4)
,,,(4),183.8,"3, 320",18. 1.05
1930 _,637,22.3,,,,
,,,,,,(4)20.2.	11
,810,18.8,(4),1.6342,"6,890",
,,,(4),1.8,,(4)32.4.23
,841,19.6,,324,"10, 500",
,,,,,,(4)14.4. 36
1933 ______ — ...... --,"1,695",16.9,(4),"6. 31, 170","16, 900",
,,,(4),,,(4)13.4.38
1934___,"1,856",19.5,,"1,4707.2","19, 600",
,,,(4),,,(4)13. 8
1935 -,"2,014",23.8,,"1, 1205. 2","15, 500",. 29
,,,(4),,,(4)17. 6. 21
1936,"2, 172",23.3,,3. 1789,"13, 900",
,,,(4),,,(4)15. 3. 43
,"4, 740",20.3,,"1,8607.2","28,400",
1938,"2, 772",23. 6,(4),2. 8688,"9, 150",. 1513. 3(4)
,,,(4),"1, 1703. 5","17, 800",0. 2115. 2. 28
,"2, 613",23.4,,,,
,,,(4),1. 7577,"6, 700",. 1011. 6. 08
1940 _,"2, 508",20.9,,,,
,,,(4),"6. 12, 360","23, 000",. 32. 239. 8
1941 _,"4, 288",18.3,,,,
,,,(4),2. 0840,"4, 180",. 055. 0. 04
__------1942,"2, 968",11.7,,,,
,"3, 752",5. 0,(4),"/, 9804. 6","13,500",6. 8. 10.	15
,,,(4),4. 8,"8, 720",.4. 1. 09. 07
1944 ..... _— ...... -----,"4, 956",5. 6,,"2, 120",,
1945 _,"4,750",9.9,,"3,4708.2","38, 000",11.0.31.47
,,,(4),,,
,"4, 985",24.2,(4),"10.54, 600","116, 000",1.4325. 21. 04
,,,(4),"4. 72, 170","34, 600",. 4115. 9. 30
1947 ---------- ........,"3, 693",25.6,,,,
,,,(4),4. 2,"34, 100",17.4. 28. 37
,"3,419",21.8,,"1,960",,
,,,(4),"6. 73, 030","50,500",16. 7. 44. 59
1949,"3, 606",22.5,,,,
,"4, 843",19.2,8,"5. 12,410","38, 800",16. 1. 33. 40
,"4,737",17.4,7,"2,2204.5","22, 900",10. 3.21. 18
1951,,,,,,
1952 -,"5, 117",19.6,7,"3,5407.3","59, 100",16.7.57.48
,"5, 091",20.3,9,"2,4004. 7","28, 300",11. 8. 26. 22
1953,,,,,,
1954 -,"3,468",22.5,9,"3. 1/, 530","22, 600",. 1914. 7.	18
1955,"4, 320",18.5,8,"5. 22, 650","28, 200",10. 7. 26. 22
1956 -,"3, 825",18.9,7,"3. 61, 900","33, 100",17. 4. 24. 29
1957 -,"3, 673",19.2,8,"2. 61, 390","16, 500",11. 4. 14. 12
,"3, 694",19.7,8,"2, 0603. 9","23, 900",. 18. 2211. 6
1959 —,"3,708",24.6,10,"3.31,880","69, 000",36. 7. 50.61
1960,"3, 333",23.4,10,"2. 41, 320","19, 100",. 1714. 5. 14
1961,"3, 367",23.7,9,"2. 61,450","16, 300",11. 2.	11. 12
1962 ________,"3, 614",24.6,9,"2. 21, 230","18, 600",15. 0.	13. 16
,"3, 362",23.0,8,1.	9411,"16, 100",17. 1.	/1.	13
1964 ___________ .....,"3, 655",22.9,8,"1, 6402. 7","22, 900",14. 0. 15. 18
1965 -,"3, 963",25.0,9,"1, 5502. 5","23, 300",15. 1. 18. 15
,"4,405",22.2,9,"1,9603.0","25,400",12.9. 15. 18
1966 _,,,,,,
,"4, 595",22. 8,9,"4. 32, 870","42, 100",. 25. 3014. 7
,"5, 045",24.5,10,"3. 82, 649","49,018",18. 5. 32. 28
,"5, 700",22.5,10,"3. 52,481","42, 869",17. 3. 24. 28
1969 -----------,,,,,,
