0,1,2,3,4,5,6,7
,9,,,,,,
"TABLE 5.- Work stoppages beginning in 1950,  by industry",,,,,,,
,,,"Buffalo areas, in the construction industry; rail-",,,,
group,,,,,,,
,,,"road switchmen and firemen strikes in the ""trans-",,,,
Man-days idleStoppages be-,,,"portation, communication, and other public utili-",,,,
ginning in 1950during 1950,,,,,,,
,,,"ties"" group; and the General Electric Co. strike",,,,
Percent,,,"in the ""electrical machinery equipment and sup-",,,,
Work-Industry group,,,,,,,
Num-of esti-,,,,,,,
ers in-,,,,,,,
Num-matedber,,,"plies"" group. The primary metal industries,",,,,
volved,,,,,,,
work-ber(thou-,,,,,,,
(thou-,,,,,,,
in gsands),,,which recorded a large share of the preceding,,,,
sands),,,,,,,
time 1,,,,,,,
,,,year's strike idleness as a result of the basic-steel,,,,
"22,410.00.44All industries 	4, 84338, 800. 0",,,,,,,
,,,"TABLE 6.-Work stoppages in 1950, by State",,,,
".66Z 7051, 450.0Manufacturing	22, 900.0",,,,,,,
"142.0.413091, 180. 0Primary metal industries",,,,,,,
Fabricated metal products (except ord-,,,,,,,
,,,,Work stoppages,,,
"nance, machinery, and transportation",,,,,,,
,,,,beginning in 1950,,Man-days,
.45equipment) 	27885.8969.0,,,,,,,
.11,,,,,,idle during,
2.56.1Ordnance and accessories,,,,,,,
,,,,,,1950 (all,
"Electrical machinery, equipment, and",,,,,,,
,,,,Workers,,stoppages),
". 73supplies 	168132.01, 420. 0",,,,,,,
,,State,,involved,,,
1.40317224.04. 410. 0Machinery (except electrical),,,,,,,
171368.02. 88Transportation equipment 	540.0,,,Num-,,,,
Lumber and wood products (except fur-,,,ber,,,,
,,,,Number,Per-,Number,Per-
119.38niture) 	23.6700.0,,,,,,,
.38,,,,(thou-,cent of,(thou-,cent of
10615.8315.0Furniture and fixtures,,,,,,,
.55,,,,sands),total,sands),total
"13244.6652.0Stone, clay, and glass products",,,,,,,
.23147Textile mill products 	48.4686.0,,,,,,,
Apparel and other finished products,,,,,,,
,,All States,"1 4, 843","1 2, 410.0",100.0,"38, 800.0",100.0
.08made from fabrics and similar materials_18717.9228.0,,,,,,,
.178425.3157.0Leather and leather products,,,,,,,
.19,,Alabama,108,51.1,2.1,676.0,1. 7
185691.0Food and kindred products 	57.0,,,,,,,
.16,,Arizona,23,8.0,.3,55.3,.1
52.833.0Tobacco manufactures,,,,,,,
,,Arkansas,21,4.1,.2,144.0,.4
76360.0Paper and allied products 	18.9. 33,,,,,,,
. 14,,California,238,138.0,5.7,"1, 630.0",4.2
"Printing, publishffig, andallied industries_5410.4240.0",,,,,,,
,,Colorado,34,24.5,1.0,528.0,1.4
795.0Chemicals and allied products 	39.2.5096,,,,,,,
792.01.39,,Connecticut,83,13.3,.5,87.1,.2
Products of petroleum and coal 	2216.4,,,,,,,
Rubber products 	136136.0.66,,Delaware,11,5.1,.2,55.4,.1
385.0,,,,,,,
"Professional, scientific, and controlling",,,,,,,
,,District of Columbia,18,4.6,.2,32.5,.1
instruments; photographic and optical,,,,,,,
158.0.27goods; watches and clocks 	2623.1,,Florida,31,8.5,.4,65.7,.2
.22Miscellaneous manufacturing industries _9618.6237.0,,Georgia,42,.. 9 8,. 4,1041. 0,
,,Idaho,10,5,(1),. 7,(a)3
,,,331,164.0,6.8,"2, 970.0",7.6
"959.0Nonmanufacturing 	15, 900.030.s Z 138",,Illinois,,,,,
"152.0Agriculture, forestry, and fishing 	1220.7(4	)",,Indiana,179,159.0,6.6,"2, 010.0",5.2
5084.37Mining 	196.0700.0,,Iowa,52,32.4,1.3,"1, 060.0",2.7
